Rank,Regulatory Class,Model Year,Manufacturer,Model Name,Vehicle Type,Weight (lbs),Drive Type,Transmission,Gears,Fuel Delivery,Horsepower (HP),Engine Displacement,Real-World MPG_City,Real-World MPG_Hwy,Real-World MPG
"Low","Car","1975","GM","TORONADO","Sedan/Wagon","5500","Front","Automatic","-","Carb","175","455","7.70000","9.40000","8.40000"
"Low","Car","1976","Jaguar Land Rover","JENSEN","Sedan/Wagon","4500","Rear","Automatic","3","Carb","250","440","7.70000","9.90000","8.60000"
"Low","Car","1977","BMW","ROLLS ROYCE","Sedan/Wagon","5500","Rear","Automatic","-","Carb","170","412","7.80000","8.90000","8.30000"
"Low","Car","1978","Stellantis","MONACO","Sedan/Wagon","5000","Rear","Automatic","3","Carb","240","440","7.50000","8.70000","8.00000"
"Low","Car","1979","Aston Martin","ASTON MARTIN V8","Sedan/Wagon","4500","Rear","Manual","5","Carb","60","326","6.80000","9.70000","7.90000"
"Low","Car","1980","Aston Martin","79 ASTON MARTIN","Sedan/Wagon","4500","Rear","Manual","5","Carb","275","326","6.80000","9.70000","7.90000"
"Low","Car","1981","BMW","CAMARGUE","Sedan/Wagon","5500","Rear","Automatic","3","Port","170","412","8.00000","9.50000","8.60000"
"Low","Car","1981","BMW","CORNICHE","Sedan/Wagon","5500","Rear","Automatic","3","Port","170","412","8.00000","9.50000","8.60000"
"Low","Car","1982","Stellantis","QUATTROPORTE","Sedan/Wagon","5000","Rear","Automatic with Lockup","3","Carb","288","301","7.60000","9.80000","8.50000"
"Low","Car","1983","Stellantis","QUATTROPORTE","Sedan/Wagon","5000","Rear","Automatic with Lockup","3","Carb","288","301","7.60000","9.80000","8.50000"
"Low","Car","1984","Stellantis","QUATTROPORTE","Sedan/Wagon","5000","Rear","Automatic with Lockup","3","Carb","288","301","7.60000","9.80000","8.50000"
"Low","Car","1985","Stellantis","QUATTROPORTE","Sedan/Wagon","5000","Rear","Automatic with Lockup","3","Carb","288","301","7.60000","9.80000","8.50000"
"Low","Car","1986","VW","COUNTACH","Sedan/Wagon","3500","Rear","Manual","5","Port","420","315","6.10000","10.40000","7.50000"
"Low","Car","1987","VW","COUNTACH","Sedan/Wagon","3500","Rear","Manual","5","Port","420","315","6.10000","10.40000","7.50000"
"Low","Car","1988","VW","COUNTACH","Sedan/Wagon","3500","Rear","Manual","5","Port","420","315","6.10000","10.40000","7.50000"
"Low","Car","1989","VW","COUNTACH","Sedan/Wagon","3500","Rear","Manual","5","TBI","420","315","6.00000","10.30000","7.50000"
"Low","Car","1990","Aston Martin","LAG","Sedan/Wagon","5000","Rear","Automatic with Lockup","3","Port","240","326","8.20000","10.70000","9.20000"
"Low","Car","1991","Vector","VECTOR W8","Sedan/Wagon","4000","Rear","Automatic","3","Port","450","365","7.20000","10.50000","8.50000"
"Low","Car","1992","Vector","VECTOR W8","Sedan/Wagon","4000","Rear","Automatic","3","Port","450","365","7.20000","10.50000","8.50000"
"Low","Car","1993","Vector","VECTOR W8","Sedan/Wagon","4000","Rear","Automatic","3","Port","450","365","7.10000","10.40000","8.50000"
"Low","Car","1994","VW","DB132/DIABLO","Sedan/Wagon","4000","4wd","Manual","5","Port","492","348","9.00000","13.70000","10.90000"
"Low","Car","1995","Stellantis","FERRARI F50","Sedan/Wagon","3000","Rear","Manual","6","Port","510","287","7.30000","10.70000","8.70000"
